nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
PUYE(LA),86202,Entre 500 et 999 habitants,La Puye,La Puye (86),,,236,1.72,18778,4,33
QUINCAY,86204,Entre 1 000 et  3 499 habitants,Quinçay,Quinçay (86),,,816,2.02,22731,8,56
RANTON,86205,Moins de 500 habitants,Ranton,Ranton (86),,,88,1.75,17409,2,25
ROCHE-POSAY(LA),86207,Entre 1 000 et  3 499 habitants,La Roche-Posay,La Roche-Posay (86),,,755,1.65,19216,5,574
ROCHEREAU(LE),86208,Entre 500 et 999 habitants,Le Rochereau,Le Rochereau (86),,,299,2.04,19821,6,15
ROCHES-PREMARIE(LES),86209,Entre 1 000 et  3 499 habitants,Roches-Prémarie-Andillé,Roches-Prémarie-Andillé (86),,,784,1.93,21271,7,26
ROMAGNE,86211,Entre 500 et 999 habitants,Romagne,Romagne (86),,,406,1.68,15520,1,88
ROUILLE,86213,Entre 1 000 et  3 499 habitants,Rouillé,Rouillé (86),,,1106,1.75,19158,5,74
SAINT-CHRISTOPHE,86217,Moins de 500 habitants,Saint-Christophe,Saint-Christophe (86),,,140,1.87,18764,4,22
SAINT-CLAIR,86218,Moins de 500 habitants,Saint-Clair,Saint-Clair (86),,,93,1.84,16673,1,39
SAINT-GAUDENT,86220,Moins de 500 habitants,Saint-Gaudent,Saint-Gaudent (86),,,135,1.68,18713,4,13
SAINT-GENEST-D'AMBERRE,86221,Entre 1 000 et  3 499 habitants,Saint-Genest-d'Ambière,Saint-Genest-d'Ambière (86),,,507,1.92,19350,5,49
SAINT-GEORGES-LES-BAILLARGEAUX,86222,Entre 3 500 et 9 999 habitants,Saint-Georges-lès-Baillargeaux,Saint-Georges-lès-Baillargeaux (86),,,1644,1.92,22082,8,42
SAINT-GERVAIS-LES-TROIS-CLOCHER,86224,Entre 1 000 et  3 499 habitants,Saint-Gervais-les-Trois-Clochers,Saint-Gervais-les-Trois-Clochers (86),,,548,1.84,19257,5,48
SAINT-JEAN-DE-SAUVES,86225,Entre 1 000 et  3 499 habitants,Saint-Jean-de-Sauves,Saint-Jean-de-Sauves (86),,,578,1.81,17927,3,79
SAINT-LAON,86227,Moins de 500 habitants,Saint-Laon,Saint-Laon (86),,,60,1.61,16579,1,10
SAINT-LAURENT-DE-JOURDES,86228,Moins de 500 habitants,Saint-Laurent-de-Jourdes,Saint-Laurent-de-Jourdes (86),,,80,1.96,19349,5,11
SAINT-LEGER-DE-MONTBRILLAIS,86229,Moins de 500 habitants,Saint-Léger-de-Montbrillais,Saint-Léger-de-Montbrillais (86),,,172,1.73,17638,2,33
SAINT-LEOMER,86230,Moins de 500 habitants,Saint-Léomer,Saint-Léomer (86),,,84,1.70,18391,3,32
VALDIVIENNE,86233,Entre 1 000 et  3 499 habitants,Valdivienne,Valdivienne (86),,,1151,1.87,20300,6,170
SAINT-MARTIN-L'ARS,86234,Moins de 500 habitants,Saint-Martin-l'Ars,Saint-Martin-l'Ars (86),,,192,1.53,17845,2,66
SAINT-MAURICE-LA-CLOUERE,86235,Entre 1 000 et  3 499 habitants,Saint-Maurice-la-Clouère,Saint-Maurice-la-Clouère (86),,,514,1.97,20092,6,32
